ano;prm_id;ich_perg_id;perg_id;pergunta_texto;pergunta_legenda;perg_ordemVisualizacao;perg_pontuacao;perg_criterio
2021;179;95;2;"A criança tem alguma deficiência? ";NULL;1;100;Não
2021;179;96;7;A criança tem déficit nutricional ou doença crônica ou familiar com doença crônica?;NULL;2;10;Não
2021;179;97;8;Já ocorreu alguma situação de violência na residência da criança praticado por algum membro do núcleo familiar?;NULL;3;10;Não
2021;179;98;9;Existe algum membro do núcleo familiar que faz uso de drogas ou é alcoólatra?;NULL;4;10;Não
2021;179;120;12;Existe algum membro do núcleo familiar que é presidiário ou ex-presidiário nos últimos 5 anos?;NULL;5;5;Não
2021;179;121;11;Faz parte do programa bolsa família?;NULL;6;100;Não
2021;179;122;3;Possui Cartão Carioca?;NULL;7;100;Não
2021;179;123;26;Possui irmão participando de processo classificatório na creche?;NULL;8;0;Sim
2021;179;124;1;A mãe é mãe adolescente?;NULL;9;0;Sim
2021;179;125;21;A criança pertence ao Programa Territórios Sociais?;NULL;10;100;Não
2021;179;126;23;O candidato é refugiado?;NULL;11;10;Não
2021;179;127;24;Candidato tem pais ou responsáveis com idade igual ou superior a sessenta anos ?;NULL;12;10;Não
2021;179;128;25;Candidato tem pais ou responsáveis deficientes ?;NULL;13;10;Não
2022;181;142;2;"A criança tem alguma deficiência? ";NULL;1;100;Não
2022;181;143;7;A criança tem déficit nutricional ou doença crônica ou familiar com doença crônica?;NULL;2;10;Não
2022;181;144;8;Já ocorreu alguma situação de violência na residência da criança praticado por algum membro do núcleo familiar?;NULL;3;10;Não
2022;181;145;9;Existe algum membro do núcleo familiar que faz uso de drogas ou é alcoólatra?;NULL;4;10;Não
2022;181;146;10;Existe algum membro do núcleo familiar que é presidiário ou ex-presidiário?;NULL;5;5;Não
2022;181;147;11;Faz parte do programa bolsa família?;NULL;6;100;Não
2022;181;148;3;Possui Cartão Carioca?;NULL;7;100;Não
2022;181;149;26;Possui irmão participando de processo classificatório na creche?;NULL;8;0;Sim
2022;181;150;1;A mãe é mãe adolescente?;NULL;9;0;Sim
2022;181;151;21;A criança pertence ao Programa Territórios Sociais?;NULL;10;100;Não
2022;181;152;23;O candidato é refugiado?;NULL;11;10;Não
