408;NULL;EDI INFANTE DE SAGRES;3;NULL;NULL;NULL;NULL;NULL
410;NULL;EDI DONA PERCILIANA;3;NULL;NULL;NULL;NULL;NULL
1340;NULL;EDI ULISSES VIANA;3;NULL;NULL;NULL;NULL;NULL
1341;NULL;EDI ROBERTO MORENA;3;NULL;NULL;NULL;NULL;NULL
1468;NULL;PROFESSORA EDITH MARQUES DE SOUZA;3;NULL;NULL;NULL;NULL;NULL
1475;NULL;EDI JOÃO XXIII;3;NULL;NULL;NULL;NULL;NULL
1480;NULL;CM DO CAMPINHO;3;NULL;NULL;NULL;NULL;NULL
1528;NULL;EDI SESI MARE I;3;NULL;NULL;NULL;NULL;NULL
1530;NULL;EDI CLOVIS BEVILAQUIA;3;NULL;NULL;NULL;NULL;NULL
1535;NULL;EDI CIEP ULYSSES GUIMARAES;3;NULL;NULL;NULL;NULL;NULL
1536;NULL;EDI EM GASTAO RANGEL;3;NULL;NULL;NULL;NULL;NULL
1538;NULL;EDI JOSÉ MARINHO (CANTINHO FELIZ);3;NULL;NULL;NULL;NULL;NULL
1540;NULL;EDI JARDIM GUADALAJARA II;3;NULL;NULL;NULL;NULL;NULL
1541;NULL;EDI CAMPO DO FURAO;3;NULL;NULL;NULL;NULL;NULL
1562;NULL;EDI PRAÇA DO CONHECIMENTO;3;NULL;NULL;NULL;NULL;NULL
491;NULL;EDI PRAÇA IVO  GOMES;3;NULL;NULL;NULL;NULL;NULL
608;NULL;EDI DA AVENIDA BRASIL;3;NULL;NULL;NULL;NULL;NULL
1612;NULL;EDI NA RUA NARANDIBA;3;NULL;NULL;NULL;NULL;NULL
1635;NULL;EDI NA RUA ITAPIRU;3;NULL;NULL;NULL;NULL;NULL
1790;NULL;EDI PROFESSORA ANNA MARIA DE JESUS CONCEIÇÃO;3;NULL;NULL;NULL;NULL;NULL
1986;NULL;CC CASA SANTA MARTA;3;NULL;NULL;NULL;NULL;NULL
1872;01001;CC ASSOCIAÇÃO DE EDUCAÇÃO INFANTIL FLORESCER;3;NULL;NULL;NULL;NULL;NULL
1675;01001;"CRECHE CONVENIADA INSTITUTO CENTRAL DO POVO  ";3;NULL;NULL;NULL;NULL;NULL
1677;01002;CRECHE CONVENIADA CANTINHO FELIZ DE SANTA TERESA;3;NULL;NULL;NULL;NULL;NULL
1891;01002;CP ASSOCIAÇÃO DE EDUCAÇÃO INFANTIL - FLORESCER;4;NULL;NULL;NULL;NULL;NULL
1679;01003;CRECHE CONVENIADA ASSOCIAÇÃO DE EDUCAÇÃO INFANTIL FLORESCER;3;NULL;NULL;NULL;NULL;NULL
1953;01004;CP CRECHE CANTINHO FELIZ DE SANTA TERESA;1;RUA ALMIRANTE ALEXANDRINO;2235;NULL;SANTA TERESA;20241263
2011;01005;CP CASA MATERNAL CORAÇÃO DE MÃE;1;RUA DA CONCEIÇÃO;01;COMPLEXO DO TURANO;RIO COMPRIDO;20261004
1974;01005;CC CASA SANTA MARTA;3;NULL;NULL;NULL;NULL;NULL
2012;01006;CP CRECHE DO TUIUTI;1;" RUA SÃO LUIZ GONZAGA";1612;FUNDOS;SÃO CRISTÓVÃO;20910062
2045;01007;CP EDUCANDÁRIO NOSSA SENHORA DE NAZARÉ;1;RUA DOUTOR AGRA;115;NULL;CATUMBI;20251080
2106;01008;CP CRECHE COMUNITÁRIA PREVENTÓRIO RAINHA DONA AMÉLIA;4;NULL;NULL;NULL;NULL;NULL
2123;01009;CP CRECHE COMUNITÁRIA ANITA WAY;1;" RUA DA AMERICA";81;NULL;SANTO CRISTO;20220590
2153;01010;CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO;1;RUA SÃO LUIZ GONZAGA;1720;NULL;SÃO CRISTÓVÃO;20910064
487;0101001;ESCOLA MUNICIPAL VICENTE LICÍNIO CARDOSO;3;NULL;NULL;NULL;NULL;NULL
394;0101001;EM VICENTE LICINIO CARDOSO;1;RUA EDGARD GORDILHO;63;NULL;SAÚDE;20081070
497;0101003;EM DARCY VARGAS;1;RUA SOUSA E SILVA;112;NULL;GAMBOA;20220560
498;0101004;EM BENJAMIM CONSTANT;1;PRAÇA MARECHAL HERMES;S/Nº;NULL;SANTO CRISTO;20220430
499;0101005;EM GENERAL MITRE;1;RUA FARNESE;39;NULL;SANTO CRISTO;20220640
